observableId	simulationConditionId	time	measurement
obs_a	c_0	0.0	0.737844
obs_a	c_0	0.5	0.5674758204
obs_a	c_0	1.0	0.40684718160000005
obs_a	c_0	1.5	0.3429498912
obs_a	c_0	2.0	0.24083228160000003
obs_a	c_0	3.0	0.15612779040000002
obs_a	c_0	4.0	0.11724341160000004
obs_a	c_0	5.0	0.05821589159999998
obs_a	c_0	7.0	0.02966132880000001
obs_a	c_0	10.0	0.00959197200000001
obs_a	c_0	15.0	0.00427949520000002
obs_a	c_0	20.0	0.00464841719999998
obs_a	c_0	25.0	0.004869770400000037
obs_a	c_0	35.0	0.0038367887999999875
obs_a	c_0	45.0	0.0020659632000000184
obs_a	c_0	70.0	0.0009591971999999764
obs_a	c_0	120.0	0.00110676599999996
obs_b	c_0	0.0	6.64059
obs_b	c_0	0.5	6.287974671
obs_b	c_0	1.0	5.517666231
obs_b	c_0	1.5	5.347003068
obs_b	c_0	2.0	4.750678086000001
obs_b	c_0	3.0	4.144392219
obs_b	c_0	4.0	4.168962402
obs_b	c_0	5.0	3.105803943
obs_b	c_0	7.0	2.8169382780000003
obs_b	c_0	10.0	1.6880379779999999
obs_b	c_0	15.0	0.9482762520000003
obs_b	c_0	20.0	0.6374966399999998
obs_b	c_0	25.0	0.47148188999999974
obs_b	c_0	35.0	0.3174202019999997
obs_b	c_0	45.0	0.24171747599999993
obs_b	c_0	70.0	0.20120987699999998
obs_b	c_0	120.0	0.1646866320000003
obs_a	c_1	0.0	1.13106
obs_a	c_1	0.5	0.847503258
obs_a	c_1	1.0	0.703406214
obs_a	c_1	1.5	0.5394025139999999
obs_a	c_1	2.0	0.38591767199999993
obs_a	c_1	3.0	0.21953874600000003
obs_a	c_1	4.0	0.13832863799999995
obs_a	c_1	5.0	0.06582769200000003
obs_a	c_1	7.0	0.032574528000000054
obs_a	c_1	10.0	0.007691208000000032
obs_a	c_1	15.0	0.004750451999999979
obs_a	c_1	20.0	0.003393180000000003
obs_a	c_1	25.0	0.003619391999999978
obs_a	c_1	35.0	0.002488331999999977
obs_a	c_1	45.0	0.0019228020000000394
obs_a	c_1	70.0	0.0023752259999999894
obs_a	c_1	120.0	0.0014703779999999636
obs_b	c_1	0.0	6.40937
obs_b	c_1	0.5	5.892774778
obs_b	c_1	1.0	5.555641916
obs_b	c_1	1.5	5.096731024
obs_b	c_1	2.0	4.678199163
obs_b	c_1	3.0	3.991114699
obs_b	c_1	4.0	3.5443816099999994
obs_b	c_1	5.0	2.856656209
obs_b	c_1	7.0	2.331087869
obs_b	c_1	10.0	1.5081247609999997
obs_b	c_1	15.0	1.1318947419999998
obs_b	c_1	20.0	0.7184903769999998
obs_b	c_1	25.0	0.5056992929999998
obs_b	c_1	35.0	0.30572694899999975
obs_b	c_1	45.0	0.24804261899999971
obs_b	c_1	70.0	0.174334864
obs_b	c_1	120.0	0.1339558330000002
obs_a	c_2	0.0	1.54335
obs_a	c_2	0.5	1.13806629
obs_a	c_2	1.0	0.811647765
obs_a	c_2	1.5	0.63308217
obs_a	c_2	2.0	0.444639135
obs_a	c_2	3.0	0.23829323999999996
obs_a	c_2	4.0	0.16945983
obs_a	c_2	5.0	0.07886518500000006
obs_a	c_2	7.0	0.034108035000000016
obs_a	c_2	10.0	0.01080345000000001
obs_a	c_2	15.0	0.004784384999999987
obs_a	c_2	20.0	0.004475715000000021
obs_a	c_2	25.0	0.0037040399999999345
obs_a	c_2	35.0	0.003858374999999918
obs_a	c_2	45.0	0.0035497049999999516
obs_a	c_2	70.0	0.0023150249999999164
obs_a	c_2	120.0	0.0020063549999999506
obs_b	c_2	0.0	6.1734
obs_b	c_2	0.5	5.61408996
obs_b	c_2	1.0	5.1152792400000004
obs_b	c_2	1.5	4.85105772
obs_b	c_2	2.0	4.33125744
obs_b	c_2	3.0	3.6194644200000003
obs_b	c_2	4.0	3.28795284
obs_b	c_2	5.0	2.6736995400000003
obs_b	c_2	7.0	2.03166594
obs_b	c_2	10.0	1.5081616199999999
obs_b	c_2	15.0	0.99576942
obs_b	c_2	20.0	0.6611711399999999
obs_b	c_2	25.0	0.42164322000000015
obs_b	c_2	35.0	0.2728642800000001
obs_b	c_2	45.0	0.21730368000000005
obs_b	c_2	70.0	0.1537176600000002
obs_b	c_2	120.0	0.13704947999999997
obs_a	c_3	0.0	1.9737
obs_a	c_3	0.5	1.44632736
obs_a	c_3	1.0	1.1492855100000001
obs_a	c_3	1.5	0.8135591400000001
obs_a	c_3	2.0	0.5546097000000001
obs_a	c_3	3.0	0.3866478299999999
obs_a	c_3	4.0	0.18927782999999998
obs_a	c_3	5.0	0.12236940000000011
obs_a	c_3	7.0	0.06690843000000009
obs_a	c_3	10.0	0.023684400000000022
obs_a	c_3	15.0	0.007894800000000007
obs_a	c_3	20.0	0.007105320000000094
obs_a	c_3	25.0	0.0027631799999999146
obs_a	c_3	35.0	0.004144769999999982
obs_a	c_3	45.0	0.005131620000000092
obs_a	c_3	70.0	0.003552660000000047
obs_a	c_3	120.0	0.0031579200000000905
obs_b	c_3	0.0	5.9211
obs_b	c_3	0.5	5.37813513
obs_b	c_3	1.0	5.07971169
obs_b	c_3	1.5	4.52194407
obs_b	c_3	2.0	4.209902100000001
obs_b	c_3	3.0	3.7397667599999997
obs_b	c_3	4.0	2.88772047
obs_b	c_3	5.0	2.7142322400000003
obs_b	c_3	7.0	2.18133324
obs_b	c_3	10.0	1.61172342
obs_b	c_3	15.0	1.1374433100000003
obs_b	c_3	20.0	0.7543481399999997
obs_b	c_3	25.0	0.5589518400000002
obs_b	c_3	35.0	0.31263407999999976
obs_b	c_3	45.0	0.26763372000000013
obs_b	c_3	70.0	0.17526455999999976
obs_b	c_3	120.0	0.1533564900000002
obs_a	c_4	0.0	3.38673
obs_a	c_4	1.0	1.847122542
obs_a	c_4	2.0	0.993327909
obs_a	c_4	3.0	0.6123207839999999
obs_a	c_4	5.0	0.23876446500000004
obs_a	c_4	10.0	0.054526353000000014
obs_a	c_4	15.0	0.02810985899999991
obs_a	c_4	20.0	0.015578958000000165
obs_a	c_4	25.0	0.01761099599999994
